对象,平面X,顺序,顶点索引,X坐标,Y坐标,Z坐标
上装甲,-163,1,2,-163.0264997,-348.739481,194.0330267
上装甲,-163,2,0,-163.0264997,211.2154961,194.032979
上装甲,-163,3,8,-163.0264997,413.342905,154.4758081
上装甲,-163,4,9,-163.0264997,354.8161745,86.79773808
上装甲,-163,5,1,-163.0264997,211.2154961,114.9009705
上装甲,-163,6,3,-163.0264997,-348.739481,114.9010181
上装甲,163,1,7,163.0264997,-348.739481,114.9010181
上装甲,163,2,5,163.0264997,211.2154961,114.9009705
上装甲,163,3,10,163.0264997,354.8161745,86.79773808
上装甲,163,4,11,163.0264997,413.342905,154.4758081
上装甲,163,5,4,163.0264997,211.2154961,194.032979
上装甲,163,6,6,163.0264997,-348.739481,194.0330267
下装甲,-118.7,1,7,-118.7479734,-337.8475189,114.9010301
下装甲,-118.7,2,5,-118.7480211,211.2154961,114.9009824
下装甲,-118.7,3,10,-118.7480211,354.1463375,87.23271489
下装甲,-118.7,4,4,-118.7480211,305.3759575,28.18157971
下装甲,-118.7,5,11,-118.7480211,211.2154961,46.4089781
下装甲,-118.7,6,6,-118.7479734,-337.8475189,46.40902579
下装甲,118.7,1,2,118.7480211,-337.8474951,46.40902579
下装甲,118.7,2,8,118.7479734,305.3759813,28.18157971
下装甲,118.7,3,0,118.7479734,211.2155199,46.4089781
下装甲,118.7,4,9,118.7479734,354.1463614,87.23271489
下装甲,118.7,5,1,118.7479734,211.2155199,114.9009824
下装甲,118.7,6,3,118.7480211,-337.8474951,114.9010301
